name,primary road,secondary road,tertiary road,residential road,footway,u,p,l,k,j,h,g,d
BL0,126,28,63,102,607,0,20,13,5,20,9,15,1
CD1,0,10,1,84,49,0,20,5,1,2,1,5,1
CD9,53,15,44,92,787,2,20,20,9,16,5,7,1
GN0,39,0,9,181,172,0,20,4,1,0,0,3,0
GN3,9,0,3,116,26,0,20,4,0,1,0,0,0
GR4,25,0,14,39,39,0,4,0,2,1,0,0,0
GR9,8,0,9,139,89,0,6,0,4,3,0,0,0
HV1,2,1,5,77,66,0,3,0,1,0,0,0,0
KF1,1,33,19,167,142,0,20,2,0,7,0,2,0
LW2,0,7,10,142,163,0,20,2,1,2,0,1,0
MY7,27,21,44,117,268,0,20,14,7,7,0,7,0
ST5,5,18,3,7,32,0,3,1,2,0,0,0,0
TH4,16,13,9,111,247,1,20,2,1,3,0,1,0
